CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
1,1390,50.83,-0.26,0.99,3,0.83,0.3,1.26,2.26,44.34,13.97,11.78,11.95,28.64,70.83,41.09,30.27,89.55,-11475,2.55,5.64,3.95,3.95,16.32,13.42,-287.64
2,1390,27.22,1.12,0.45,7.57,1.22,1.14,0.74,1.74,57.52,35.23,28.64,72.87,40.74,73.27,52.34,32.2,90.81,22999,6.64,1,46.62,46.62,3.88,80.36,568.96
3,1390,-4.79,1.3,0.99,12.75,3.79,2.33,0.2,1.2,83.62,62.7,62.1,62.44,44.44,51.31,44.68,19.48,77.61,5342034,0.6,1.33,62.08,62.08,45.77,62.53,108.73
4,1390,35.1,1.56,0.95,19.71,2.04,1.38,0.27,1.27,78.87,65.57,65.73,65.28,44.72,58.92,46.4,18.42,94.45,3410216,4.11,1.42,63.29,63.29,47.45,71.82,222.61
6,1390,167.05,0.9,0.12,1.01,6.78,4.02,0.24,1.24,80.52,39.77,24.87,24.87,25.98,32.82,26.62,50.19,72.65,148913,14.9,0.96,30.24,30.24,2.57,24.87,32.07
7,1390,160.33,-0.49,0,1.01,0.33,0.13,3.82,4.82,20.75,34.61,16.64,11.28,8.37,42.28,14.93,-8.14,94.19,-13013,16.16,2.82,55.27,55.27,20.2,18.63,-17.05
9,1390,336.27,0.57,0.37,2.78,1.21,0.87,1.03,2.03,49.38,42.71,30.48,53.6,25.99,54.72,31.75,33.69,82.73,25976,12.67,0.89,19.14,19.14,22.39,66.08,896.82
10,1390,59.15,0.85,0.77,20.6,3.04,1.84,0.36,1.36,73.63,39.05,30.52,35.62,33.09,46.71,35.21,63.34,91.85,279337,8.54,1.14,42.17,42.17,41.31,36.37,71.74
11,1390,7.14,0.24,0.81,6.58,1.42,1,0.91,1.91,52.35,36.68,24.57,18.43,16.34,30.04,23.39,20.46,91.24,18057,12.11,1.39,37.28,37.28,29.46,25.43,80.93
14,1390,16.23,-0.07,0,7,1.34,0.5,1.29,2.29,43.68,-6.47,-12.06,0.9,0.54,1.16,0.64,-5.87,93.15,44907,8.21,0.79,89.49,89.49,-32.73,7.67,2.95
15,1390,0,0,0.66,27.91,2.61,1.48,0.5,1.5,66.56,27.09,16.28,77.44,47.25,80.42,39.35,27.59,93.55,99940,4.94,0.6,51.15,51.15,-22.19,86.14,118.44
19,1390,140.32,0.15,0.72,0.78,2.31,1.14,1.18,2.18,45.93,24.75,12.93,9.08,9.48,21.31,11.98,1.16,65.39,14469,11.57,1.2,32.5,32.5,14.25,14.57,20.38
27,1390,16.55,0.05,0.13,10.54,0.82,0.4,5.55,6.55,15.28,9.57,1.25,0.84,1.65,7.84,1.99,30.23,93.83,-190446,9.12,2.83,7.44,7.44,-1.89,3.38,-17.51
28,1390,17.39,0.06,0.92,3.6,1.1,0.7,1.66,2.66,37.61,13.05,7.26,5.48,14.29,37.79,22.3,5.76,93.38,24801,5.74,3.98,8.09,8.09,6.96,7.51,334.68
